caller_id,avg_call_duration,total_calls,night_call_ratio,unique_origin_regions,unique_target_regions,true_label
9000037320,151.0286956521739,69,0.10144927536231885,4,4,0
9000124590,161.03847826086957,46,0.06521739130434782,4,4,0
9000150245,147.67098591549296,71,0.08450704225352113,4,4,0
9000187424,145.44166666666666,72,0.08333333333333333,4,4,0
9000246474,157.343,60,0.06666666666666667,4,4,0
9000301645,168.76666666666665,63,0.07936507936507936,4,4,0
9000331751,157.82027777777776,72,0.09722222222222222,4,4,0
9000335247,157.44054794520548,73,0.1095890410958904,4,4,0
9000574518,182.72875,40,0.0,4,4,0
9000576909,161.21454545454543,55,0.03636363636363636,4,4,0
9000735126,164.38038461538463,52,0.019230769230769232,4,4,0
9000791977,156.99418918918917,74,0.10810810810810811,4,4,0
9001028548,156.39128205128205,78,0.0641025641025641,4,4,0
9001260765,158.19214285714287,70,0.02857142857142857,4,4,0
9001338865,164.36220588235292,68,0.08823529411764706,4,4,0
9001380074,168.06875,80,0.0625,4,4,0
9001538740,159.76133333333334,75,0.06666666666666667,4,4,0
9001639435,164.40720000000002,50,0.06,4,4,0
9001688878,156.04392857142858,56,0.08928571428571429,4,4,0
9001730905,152.96746268656716,67,0.04477611940298507,4,4,0
9001797809,151.20269841269842,63,0.047619047619047616,4,4,0
9001852300,169.6,51,0.058823529411764705,4,4,0
9001925896,178.76185185185184,54,0.037037037037037035,4,4,0
9001935443,164.13727272727272,66,0.030303030303030304,4,4,0
9001938326,164.60679487179488,78,0.11538461538461539,4,4,0
9002033320,164.3440625,64,0.0625,4,4,0
9002160374,164.775,58,0.10344827586206896,4,4,0
9002213039,161.23542857142857,70,0.04285714285714286,4,4,0
9002381203,149.7234090909091,44,0.06818181818181818,4,4,0
9002421408,168.41714285714286,42,0.07142857142857142,4,4,0
9002479278,145.34254237288135,59,0.01694915254237288,4,4,0
9002482954,162.4988888888889,72,0.1111111111111111,4,4,0
9002560324,150.96055555555554,72,0.06944444444444445,4,4,0
9002639616,150.80206896551724,58,0.08620689655172414,4,4,0
9002661002,156.50573333333332,75,0.05333333333333334,4,4,0
9002937899,150.3938202247191,89,0.033707865168539325,4,4,0
9003323051,161.38169014084508,71,0.028169014084507043,4,4,0
9003335117,170.17234375,64,0.078125,4,4,0
9003399035,147.71967741935484,31,0.0,4,4,0
9003575842,161.74583333333334,60,0.06666666666666667,4,4,0
9003640437,158.00636363636363,55,0.07272727272727272,4,4,0
9003662386,165.739,70,0.08571428571428572,4,4,0
9003692685,157.66701492537314,67,0.05970149253731343,4,4,0
9003728206,149.59028169014084,71,0.056338028169014086,4,4,0
9003909142,148.31714285714284,42,0.16666666666666666,4,4,0
9003950248,154.93052631578948,57,0.05263157894736842,4,4,0
9003954123,155.78159420289856,69,0.043478260869565216,4,4,0
9004018326,170.13083333333333,60,0.03333333333333333,4,4,0
9004317496,164.5496875,64,0.09375,4,4,0
9004429429,158.0381818181818,55,0.01818181818181818,4,4,0
9004488222,160.10381578947369,76,0.05263157894736842,4,4,0
9004592338,172.99162790697676,43,0.13953488372093023,4,4,0
9004631016,165.40023529411766,85,0.11764705882352941,4,4,0
9004655629,153.42898550724638,69,0.08695652173913043,4,4,0
9004784995,154.30779661016948,59,0.1016949152542373,4,4,0
9004950686,154.9632142857143,56,0.08928571428571429,4,4,0
9005086782,158.1321875,64,0.109375,4,4,0
9005278129,150.00921348314606,89,0.02247191011235955,4,4,0
9005295610,161.07736842105263,38,0.05263157894736842,4,4,0
9005651405,121.16949860724233,359,0.4596100278551532,4,4,1
9005758816,155.1102857142857,70,0.02857142857142857,4,4,0
9005800716,158.53440677966103,59,0.0847457627118644,4,4,0
9005824205,149.7985245901639,61,0.09836065573770492,4,4,0
9005862108,159.11931506849314,73,0.0821917808219178,4,4,0
9005884953,164.39753424657536,73,0.0136986301369863,4,4,0
9006699902,158.4961403508772,57,0.07017543859649122,4,4,0
9006743531,164.59914893617022,94,0.05319148936170213,4,4,0
9006747733,161.88045454545454,44,0.045454545454545456,4,4,0
